anchor_product_id,recommended_product_id,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
5c973b4202aac5c372a483e712306f4f,cfb763496d9fc48751a27db4fd02aa2d,1,13,21,1.051215204776722e-05,0.07692307692307693,0.047619047619047616,348.45421245421244
2481a472d98c582b46bc2dfeae6f539f,665aa1d687284a4d2d2b74c0c6724625,1,21,13,1.051215204776722e-05,0.047619047619047616,0.07692307692307693,348.45421245421244
2c2b1db11f5ec66bbc6ca9d1ce3f81a4,aa280035c50ba62c746480a59045eec4,1,6,46,1.051215204776722e-05,0.16666666666666666,0.021739130434782608,344.6666666666667
173255396ec907ab516d3848dbcc98da,30ac6df06dc59ad72cf2f158fc2d904c,1,6,46,1.051215204776722e-05,0.16666666666666666,0.021739130434782608,344.6666666666667
28a652ff04e43c1bc57937a9f8770f9b,90ef6790cfc145cf45f9c476d1f47af0,1,23,12,1.051215204776722e-05,0.043478260869565216,0.08333333333333333,344.6666666666667
4b96786612ebe7463132fce2c4dca136,8817f0cda3d5b42e5f949ee3be9dc80c,1,46,6,1.051215204776722e-05,0.021739130434782608,0.16666666666666666,344.6666666666667
962a6951154f98f2c8e9a5b8b2bcf4a9,cfe9e8e1f0400c8cc665d41722f34086,1,31,9,1.051215204776722e-05,0.03225806451612903,0.1111111111111111,340.9605734767025
3f1361100ad34281edf04ce745f62b89,a39cc58c1b5926b6f9f378daa89f1315,1,8,35,1.051215204776722e-05,0.125,0.02857142857142857,339.74285714285713
1629b469d01aadb4f92644039ad17d5c,57d79905de06d8897872c551bfd09358,1,10,28,1.051215204776722e-05,0.1,0.03571428571428571,339.74285714285713
1d3f55c00acdb29bd959f2760abc8b7d,f4f67ccaece962d013a4e1d7dc3a61f7,1,5,56,1.051215204776722e-05,0.2,0.017857142857142856,339.74285714285713
0a4093a4af429dc0a9334300e5c13ae5,b141c668aca84c5877a5c66bd94fedc8,1,40,7,1.051215204776722e-05,0.025,0.14285714285714285,339.74285714285713
88e84a987b4681434dedc0bc9e00826b,d04bbac48960ecb7ea311b00ca6e1cb7,1,7,40,1.051215204776722e-05,0.14285714285714285,0.025,339.74285714285713
07c055536ebf10dfbb6c6db6dbfc36e5,8338cef8355d238f43711dcb9c0657b2,2,27,21,2.102430409553444e-05,0.07407407407407407,0.09523809523809523,335.54850088183423
5c692818d313aa12864b48ac0c2472c2,a84d0660dbffebf352aefbf1a6b18d00,1,22,13,1.051215204776722e-05,0.045454545454545456,0.07692307692307693,332.61538461538464
51ce083cd2b9078656a94655ab45b8a4,9ddd762ee8a13576a809dc66f22aa2b5,1,24,12,1.051215204776722e-05,0.041666666666666664,0.08333333333333333,330.30555555555554
b10eba910a974df70b8a12d0665cdb9e,ce6f74096c84567f22728c84f3d6e7fc,1,9,32,1.051215204776722e-05,0.1111111111111111,0.03125,330.30555555555554
39aa98469aa7460a9764311b3f8efb12,9d32095f76b97762307e86cfc18dd7a0,1,17,17,1.051215204776722e-05,0.058823529411764705,0.058823529411764705,329.16262975778545
10717ff440b2320081989126e858b220,95ec3f7e237a87df9935a570ab6ef266,1,29,10,1.051215204776722e-05,0.034482758620689655,0.1,328.02758620689656
4fcb3d9a5f4871e8362dfedbdb02b064,f4f67ccaece962d013a4e1d7dc3a61f7,17,89,56,0.00017870658481204272,0.19101123595505617,0.30357142857142855,324.47351524879616
1a428b685ede76217c9efb550c4aaa59,642a40d4d73b4b2604968937de13634a,1,14,21,1.051215204776722e-05,0.07142857142857142,0.047619047619047616,323.5646258503401
9e2d3a8d8ffad53e2e35282a2020221c,a695ab8413ea83619cde9b18292d6aa1,1,14,21,1.051215204776722e-05,0.07142857142857142,0.047619047619047616,323.5646258503401
8a443635fdf9759915c9be5be2e3b862,aa36c2127048efdcd47f4ad5b6b68810,1,27,11,1.051215204776722e-05,0.037037037037037035,0.09090909090909091,320.2962962962963
1eaf224c19e07b6e50bf0119eea1dd26,8a443635fdf9759915c9be5be2e3b862,1,11,27,1.051215204776722e-05,0.09090909090909091,0.037037037037037035,320.2962962962963
2b0ee2d07306f7c9ac55a43166e9bb4b,905b384ac5667170689505bbf30f1d07,1,23,13,1.051215204776722e-05,0.043478260869565216,0.07692307692307693,318.15384615384613
f264c1d9b20b5e4a340254d0405e613b,fd28b464cf1660a67606f7b48c8c38c6,1,50,6,1.051215204776722e-05,0.02,0.16666666666666666,317.0933333333333
43b54d1fc56ff394092a3dff6be2d39f,f889fb87b505b73de10c18b93352469f,1,15,20,1.051215204776722e-05,0.06666666666666667,0.05,317.0933333333333
5c2bb11cf2149bd4d9fffcc1246458c3,68bf40b3abd5ffc25981c25df9ed9087,1,20,15,1.051215204776722e-05,0.05,0.06666666666666667,317.0933333333333
47a3fbd41bb53db64dacc4562ba3aa52,e2e426d1332240070b0a836a854d057b,1,9,34,1.051215204776722e-05,0.1111111111111111,0.029411764705882353,310.87581699346407
5115d8cd6438c0c4d8abdf38d5d41ebd,77fa3381855b6763c52ca3b72824f508,1,17,18,1.051215204776722e-05,0.058823529411764705,0.05555555555555555,310.87581699346407
