anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
artigos_de_natal,automotivo,1,125,3809,1.051215204776722e-05,0.008,0.00026253609871357313,0.19979627198739827
bebes,cool_stuff,20,2808,3556,0.00021024304095534438,0.007122507122507123,0.00562429696287964,0.19053708030085983
construcao_ferramentas_construcao,ferramentas_jardim,5,736,3447,5.2560760238836095e-05,0.006793478260869565,0.001450536698578474,0.18748186829126776
informatica_acessorios,tablets_impressao_imagem,1,6529,79,1.051215204776722e-05,0.00015316281206922958,0.012658227848101266,0.18443129096862876
bebes,brinquedos,19,2808,3804,0.00019973088890757717,0.006766381766381766,0.004994742376445847,0.169209349282956
moveis_decoracao,moveis_quarto,1,6303,90,1.051215204776722e-05,0.00015865460891638903,0.011111111111111112,0.16769439596664729
market_place,moveis_decoracao,3,274,6303,3.1536456143301656e-05,0.010948905109489052,0.00047596382674916705,0.1652463025948714
construcao_ferramentas_iluminacao,esporte_lazer,3,242,7528,3.1536456143301656e-05,0.012396694214876033,0.00039851222104144525,0.15665153125301903
instrumentos_musicais,malas_acessorios,1,611,1019,1.051215204776722e-05,0.0016366612111292963,0.0009813542688910696,0.1527893107873481
alimentos_bebidas,utilidades_domesticas,2,221,5743,2.102430409553444e-05,0.00904977375565611,0.00034825004353125546,0.14990194633955325
construcao_ferramentas_jardim,ferramentas_jardim,1,190,3447,1.051215204776722e-05,0.005263157894736842,0.0002901073397156948,0.14524911059197165
bebes,construcao_ferramentas_iluminacao,1,2808,242,1.051215204776722e-05,0.00035612535612535614,0.004132231404958678,0.13998963998963998
moveis_cozinha_area_de_servico_jantar_e_jardim,utilidades_domesticas,2,241,5743,2.102430409553444e-05,0.008298755186721992,0.00034825004353125546,0.13746195079270235
industria_comercio_e_negocios,moveis_decoracao,2,231,6303,2.102430409553444e-05,0.008658008658008658,0.00031730921783277807,0.1306709578960888
alimentos,pet_shop,1,441,1688,1.051215204776722e-05,0.0022675736961451248,0.0005924170616113745,0.1277901365917615
construcao_ferramentas_jardim,telefonia,1,190,4092,1.051215204776722e-05,0.005263157894736842,0.00024437927663734115,0.12235427277872099
